"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","29",4.74519498430123,0.299069944728906,6.30258494578906,0.159,4.74519498430123,"Std curve r2 low",1,"Within range","Within_Range"
"2","35 Dup",4.42798340535088,0.448604917093359,10.1311336567173,0.156,4.42798340535088,"Std curve r2 low",1,"High CV","Within_Range"
"3","36 Spike",9.92631744049017,2.2430245854668,22.5967444514452,0.208,9.92631744049017,"Std curve r2 low",1,"High CV","Within_Range"
"4","23",4.11077182640054,1.49534972364453,36.3763737515416,0.153,4.11077182640054,"Std curve r2 low",1,"High CV","Within_Range"
"5","26",0,0,0,0.101,-1.38756220873874,"Std curve r2 low",1,"Within range","bdl"
"6","28",4.63945779131778,0.149534972364453,3.22311311128406,0.158,4.63945779131778,"Std curve r2 low",1,"Within range","Within_Range"
"7","31",0.462838668471594,0.373837430911132,80.7705700445545,0.1185,0.462838668471594,"Std curve r2 low",1,"High CV","Within_Range"
"8","33",11.7238497212088,0.598139889457813,5.10190682823033,0.225,11.7238497212088,"Std curve r2 low",1,"Within range","Within_Range"
"9","30",5.48535533518536,0.299069944728906,5.45215262191943,0.166,5.48535533518536,"Std curve r2 low",1,"Within range","Within_Range"
"10","24",105.054545394599,1.40409012714401,1.3365343897021,1.10766666666667,105.054545394599,"Std curve r2 low",1,"Within range","adl"
"11","25",0,0,0,0.0826666666666667,-3.32607741343528,"Std curve r2 low",1,"Within range","bdl"
"12","27",119.752015219298,2.68400349250744,2.24130131554973,1.24666666666667,119.752015219298,"Std curve r2 low",1,"Within range","adl"
"13","32",0,0,0,0.0876666666666667,-2.79739144851804,"Std curve r2 low",1,"Within range","bdl"
"14","34",7.00092176794811,1.54076663658842,22.008053905736,0.180333333333333,7.00092176794811,"Std curve r2 low",1,"High CV","Within_Range"
"15","35",3.82880597844468,0.061047396832349,1.59442387982134,0.150333333333333,3.82880597844468,"Std curve r2 low",1,"Within range","Within_Range"
"16","36",0,0,0,0.0653333333333333,-5.15885542514838,"Std curve r2 low",1,"Within range","bdl"
"17","37",0,0,0,0.0686666666666667,-4.80639811520355,"Std curve r2 low",1,"Within range","bdl"
"18","38",0,0,0,0.0653333333333333,-5.15885542514838,"Std curve r2 low",1,"Within range","bdl"
"19","39",0,0,0,0.0693333333333333,-4.73590665321459,"Std curve r2 low",1,"Within range","bdl"
"20","40",0,0,0,0.068,-4.87688957719252,"Std curve r2 low",1,"Within range","bdl"
"21","41",0,0,0,0.0723333333333333,-4.41869507426424,"Std curve r2 low",1,"Within range","bdl"
"22","42",0,0,0,0.085,-3.07935729647391,"Std curve r2 low",1,"Within range","bdl"
"23","43",0,0,0,0.0743333333333333,-4.20722068829735,"Std curve r2 low",1,"Within range","bdl"
"24","44",1.25586761584745,0.762481742050904,60.7135443600388,0.126,1.25586761584745,"Std curve r2 low",1,"High CV","Within_Range"
