"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","10",6813.03855848969,930.738460904422,13.6611359661929,0.3305,6813.03855848969,"MC 20 out of range",250,"High CV","Within_Range"
"2","32",3.50092047840686,1.24098461453923,35.4473808300826,0.1275,3.50092047840686,"MC 20 out of range",1,"High CV","Within_Range"
"3","33",7.01095502356232,0.413661538179744,5.90021668645022,0.1575,7.01095502356232,"MC 20 out of range",1,"Within range","Within_Range"
"4","31",6.484449841789,0.405303877902078,6.2503973010956,0.153,6.484449841789,"MC 20 out of range",1,"Within range","Within_Range"
"5","34",0,0,0,0.0746666666666667,-2.68064035945024,"MC 20 out of range",1,"Within range","bdl"
"6","41",0,0,0,0.0626666666666667,-4.08465417751242,"MC 20 out of range",1,"Within range","bdl"
"7","42",0,0,0,0.062,-4.16265494518254,"MC 20 out of range",1,"Within range","bdl"
"8","42 Dup",0,0,0,0.062,-4.16265494518254,"MC 20 out of range",1,"Within range","bdl"
"9","43",0,0,0,0.062,-4.16265494518254,"MC 20 out of range",1,"Within range","bdl"
"10","43 Spike",15.3375369723478,0.135101292634026,0.880853900320513,0.228666666666667,15.3375369723478,"MC 20 out of range",1,"Within range","Within_Range"
"11","8",1650.36274832354,191.806964566944,11.6221094278687,0.154,1650.36274832354,"MC 20 out of range",250,"High CV","Within_Range"
"12","9",3600.38194007657,102.723635078638,2.85313160626657,0.220666666666667,3600.38194007657,"MC 20 out of range",250,"Within range","Within_Range"
