"","IDs","H2S_mean","H2S_sd","H2S_cv","abs_mean","Conc_mean","QAQC_flag","Dilution","H2S_cv_flag","H2S_flag"
"1","49",32.2163350330254,1.21762159294336,3.77951617306922,0.443,32.2163350330254,"",1,"Within range","Within_Range"
"2","48",0.072764915553998,0,0,0.107,0.072764915553998,"",1,"Within range","Within_Range"
"3","53",0,0,0,0.079,-2.60586592756862,"",1,"Within range","bdl"
"4","58 Spike",14.6617364718468,1.01468466078613,6.92063087298362,0.2595,14.6617364718468,"",1,"Within range","Within_Range"
"5","52",0,0,0,0.1015,-0.453394714345087,"",1,"Within range","bdl"
"6","21",272.531851316479,8.62316147581956,3.16409309009752,0.676,272.531851316479,"",5,"Within range","Within_Range"
"7","24",197.753406945972,10.9737554028386,5.54921180490036,0.519666666666667,197.753406945972,"",5,"Within range","Within_Range"
"8","27",244.788889012709,17.0058512184942,6.94714996545912,0.618,244.788889012709,"",5,"Within range","Within_Range"
"9","45",0,0,0,0.07,-3.46685441285803,"",1,"Within range","bdl"
"10","46",0,0,0,0.0713333333333333,-3.33930056318552,"",1,"Within range","bdl"
"11","47",0,0,0,0.0603333333333333,-4.39161982298369,"",1,"Within range","bdl"
"12","50",0,0,0,0.0906666666666667,-1.48976974293419,"",1,"Within range","bdl"
"13","51",0,0,0,0.069,-3.56251980011241,"",1,"Within range","bdl"
"14","54",0,0,0,0.0823333333333333,-2.28698130338735,"",1,"Within range","bdl"
"15","55",0,0,0,0.0823333333333333,-2.28698130338735,"",1,"Within range","bdl"
"16","56",0,0,0,0.0813333333333333,-2.38264669064173,"",1,"Within range","bdl"
"17","57",0,0,0,0.0826666666666667,-2.25509284096923,"",1,"Within range","bdl"
"18","57 Dup",0,0,0,0.0796666666666667,-2.54208900273236,"",1,"Within range","bdl"
"19","58",0,0,0,0.0813333333333333,-2.38264669064173,"",1,"Within range","bdl"
"20","59",0,0,0,0.073,-3.17985825109489,"",1,"Within range","bdl"
"21","60",0,0,0,0.061,-4.32784289814744,"",1,"Within range","bdl"
"22","61",0,0,0,0.0603333333333333,-4.3916198229837,"",1,"Within range","bdl"
"23","62",0,0,0,0.0606666666666667,-4.35973136056557,"",1,"Within range","bdl"
