"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","QAQC_flag","Dilution","H2S_cv_flag","Top_STD"
"1","17",2552.12389749308,125.204685468958,4.90590153526423,"adl","",25,"Within range",100
"2","17 Spike",2691.45852313169,138.573665974932,5.14864579126757,"adl","",25,"Within range",100
"3","18",3491.15033730221,324.180633661312,9.28578268880346,"adl","",25,"Within range",100
