"","IDs","H2S_mean","H2S_sd","H2S_cv","H2S_flag","QAQC_flag","Dilution","H2S_cv_flag","Top_STD"
"1","15",5164.66875746697,97.6284760178701,1.89031437643936,"adl","MC 10 out of range",50,"Within range",100
"2","43",200.369748909077,4.09027497555145,2.04136352808802,"adl","MC 10 out of range",1,"Within range",100
"3","43 Dup",193.140070135612,14.5915894646194,7.55492604635281,"adl","MC 10 out of range",1,"Within range",100
