,1,2,3,4,5,6,7,8,9,10,11,12
A,0.058,0.06,0.054,0.084,0.083,0.082,0.066,0.066,0.063,0.342,0.297,0.255
B,0.151,0.119,0.123,0.062,0.064,0.061,0.061,0.054,0.058,0.06,0.058,0.06
C,0.212,0.215,0.238,0.113,0.121,0.119,0.068,0.068,0.063,0.392,0.334,0.386
D,0.487,0.369,0.394,0.053,0.053,0.054,0.443,0.42,0.411,0.396,0.374,0.329
E,0.731,0.604,0.618,0.066,0.061,0.063,0.068,0.069,0.067,0.277,0.367,0.348
F,1.064,1.046,0.969,0.116,0.107,0.128,0.28,0.296,0.236,0.054,0.057,0.054
G,0.992,1.045,0.887,0.123,0.132,0.137,0.059,0.059,0.056,0.326,0.352,0.351
H,1.048,1.128,1.048,0.151,0.154,0.158,0.15,0.158,0.141,0.645,0.685,0.629
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,Std 0,Std 0,Std 0,33,33,33,41,41,41,46,46,46
B,Std 1,Std 1,Std 1,34,34,34,ChkStd 0,ChkStd 0,ChkStd 0,47,47,47
C,Std 2,Std 2,Std 2,35,35,35,41 Dup,41 Dup,41 Dup,48,48,48
D,Std 3,Std 3,Std 3,36,36,36,ChkStd 3,ChkStd 3,ChkStd 3,33 Spike,33 Spike,33 Spike
E,Std 4,Std 4,Std 4,37,37,37,42,42,42,42 Spike,42 Spike,42 Spike
F,Std 5,Std 5,Std 5,38,38,38,43,43,43,ChkStd 0,ChkStd 0,ChkStd 0
G,MC: 10ppt S5,MC: 10ppt S5,MC: 10ppt S5,39,39,39,44,44,44,48 Dup,48 Dup,48 Dup
H,MC: 20ppt S5,MC: 20ppt S5,MC: 20ppt S5,40,40,40,45,45,45,ChkStd 4,ChkStd 4,ChkStd 4
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,1,1,1,1,1,1,1,25,25,25
B,1,1,1,1,1,1,1,1,1,25,25,25
C,1,1,1,1,1,1,1,1,1,25,25,25
D,1,1,1,1,1,1,1,1,1,1,1,1
E,1,1,1,1,1,1,25,25,25,25,25,25
F,1,1,1,1,1,1,25,25,25,1,1,1
G,1,1,1,1,1,1,25,25,25,25,25,25
H,1,1,1,1,1,1,25,25,25,1,1,1
