"","Project","Region","Site","Zone","Replicate","Depth_cm","Sample_ID","Year","Month","Day","Time","Time_Zone","H2S_mean","H2S_sd","H2S_cv","H2S_Conc_flag","H2S_cv_flag","H2S_QAQC_flag","Dilution","Analysis_rundate","Run_notes","Field_notes","Type"
"1","COMPASS: Synoptic","CB","GCerw","TR","B",20,"GCERW_202211_TR_LYSB_20CM",2022,"November",NA,NA,NA,2.07386403437085,1.98882140786436,95.8993152348923,"Within Range","High CV","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
",NA,"Lys"
"2","COMPASS: Synoptic","CB","GCW","SW","A",0,"GCW_202211_SW_A",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","SW"
"3","COMPASS: Synoptic","CB","GCW","SW","B",0,"GCW_202211_SW_B",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","SW"
"4","COMPASS: Synoptic","CB","GCW","SW","C",0,"GCW_202211_SW_C",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","SW"
"5","COMPASS: Synoptic","CB","GCW","TR","A",20,"GCW_202211_TR_LYSA_20CM",2022,"November",15,NA,NA,9.26166612183903,0.662940469288119,7.15789643641875,"Within Range","Within Range","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"6","COMPASS: Synoptic","CB","GCW","TR","A",45,"GCW_202211_TR_LYSA_45CM",2022,"November",15,NA,NA,7.2042879881072,0.565193920890629,7.84524330265043,"Within Range","Within Range","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"7","COMPASS: Synoptic","CB","GCW","TR","B",10,"GCW_202211_TR_LYSB_10CM",2022,"November",15,NA,NA,8.05067772666776,1.04965574303952,13.0381041034912,"Within Range","High CV","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"8","COMPASS: Synoptic","CB","GCW","TR","B",45,"GCW_202211_TR_LYSB_45CM",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"9","COMPASS: Synoptic","CB","GCW","TR","C",10,"GCW_202211_TR_LYSC_10CM",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"10","COMPASS: Synoptic","CB","GCW","TR","C",20,"GCW_202211_TR_LYSC_20CM",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"11","COMPASS: Synoptic","CB","GCW","TR","C",45,"GCW_202211_TR_LYSC_45CM",2022,"November",15,NA,NA,0,0,0,"bdl","Within Range","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
"12","COMPASS: Synoptic","CB","GCW","UP","B",10,"GCW_202211_UP_LYSB_10CM",2022,"November",15,NA,NA,2.30824888504916,0.662940469288119,28.7204934260805,"Within Range","High CV","Std curve r2 low; MC 10 out of range; MC 20 out of range; Spk recovery out of range",1,"202211","Used Plate 4 standard curve. 9/15 of the MC's were off. 
A lot of the spks were bad but most of the samples that were spiked were 0 to begin with, 
so probably wouldn't have given a good spike. 
","","Lys"
